dataset_id,metric,unified_value,target_id,unified_text
DATA1_511.12,objective,38273.56155624901,D1-M-T1,
DATA1_511.12,theta.Lp,2.2516926945079896,D1-M-T1,
DATA1_511.12,theta.B,1e-06,D1-M-T1,
DATA1_511.12,theta.sigma,0.9989999979378459,D1-M-T1,
DATA1_511.12,covariance.method,,D1-M-T1,None
DATA1_511.12,rmse.mass,,D1-M-T2,
DATA1_511.12,rmse.cF,,D1-M-T2,
DATA1_511.12,rmse.cV,17.15758168999245,D1-M-T2,
DATA1_511.12,nrmse.mass,11.194006943593276,D1-M-T2,
DATA1_511.12,nrmse.cF,0.06748623559117573,D1-M-T2,
DATA1_511.12,nrmse.cV,1.1972876642987134,D1-M-T2,
DATA1_511.12,nrmse.pass_threshold,0.05,D1-M-T2,
