dataset_id,metric,unified_value,target_id,unified_text
DATA1_511.12,objective,171471.31711876392,D1-M-T1,
DATA1_511.12,theta.Lp,2.1597695140081674,D1-M-T1,
DATA1_511.12,theta.B,1e-06,D1-M-T1,
DATA1_511.12,theta.sigma,0.9989999979424906,D1-M-T1,
DATA1_511.12,covariance.method,,D1-M-T1,None
DATA1_511.12,rmse.mass,,D1-M-T2,
DATA1_511.12,rmse.cF,,D1-M-T2,
DATA1_511.12,rmse.cV,8.811837516191073,D1-M-T2,
DATA1_511.12,nrmse.mass,0.09732217259607512,D1-M-T2,
DATA1_511.12,nrmse.cF,0.06119414149695304,D1-M-T2,
DATA1_511.12,nrmse.cV,0.6149062582691295,D1-M-T2,
DATA1_511.12,nrmse.pass_threshold,0.05,D1-M-T2,
