dataset_id,metric,unified_value,target_id,unified_text
DATA1_511.12,objective,8472237.04241989,D1-M-T1,
DATA1_511.12,theta.Lp,2.2710414536799726,D1-M-T1,
DATA1_511.12,theta.B,0.2709251273407314,D1-M-T1,
DATA1_511.12,theta.sigma,0.9989999979367241,D1-M-T1,
DATA1_511.12,covariance.method,,D1-M-T1,None
DATA1_511.12,rmse.mass,,D1-M-T2,
DATA1_511.12,rmse.cF,,D1-M-T2,
DATA1_511.12,rmse.cV,1.0507074285097047,D1-M-T2,
DATA1_511.12,nrmse.mass,0.16557573112320007,D1-M-T2,
DATA1_511.12,nrmse.cF,0.061761007227954995,D1-M-T2,
DATA1_511.12,nrmse.cV,0.07332030035884651,D1-M-T2,
DATA1_511.12,nrmse.pass_threshold,0.05,D1-M-T2,
