dataset_id,metric,unified_value,target_id,unified_text
DATA1_511.12,objective,111380.02053703839,D1-M-T1,
DATA1_511.12,theta.Lp,1.956852442244581,D1-M-T1,
DATA1_511.12,theta.B,1e-06,D1-M-T1,
DATA1_511.12,theta.sigma,0.9989999979421361,D1-M-T1,
DATA1_511.12,covariance.method,,D1-M-T1,None
DATA1_511.12,rmse.mass,,D1-M-T2,
DATA1_511.12,rmse.cF,,D1-M-T2,
DATA1_511.12,rmse.cV,8.424868355642777,D1-M-T2,
DATA1_511.12,nrmse.mass,12.37301505934214,D1-M-T2,
DATA1_511.12,nrmse.cF,0.07380579773193094,D1-M-T2,
DATA1_511.12,nrmse.cV,0.587902837229978,D1-M-T2,
DATA1_511.12,nrmse.pass_threshold,0.05,D1-M-T2,
